mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,param_max_iter,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.40290409326553345,0.025247899764719584,0.0005189180374145508,0.00019385838710914033,0.001,0.1,5000,0.001,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.001}",-20.800133882842843,-9.692999653443689,-18.184033431119957,-49.438333177023125,-24.528875036107404,14.95614279171261,127
0.3885021209716797,0.006313341376530586,0.00033169984817504883,2.2258883550884555e-05,0.001,0.1,5000,0.01,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.01}",-20.800133882842843,-9.692999653443689,-18.184033431119957,-49.438333177023125,-24.528875036107404,14.95614279171261,127
0.0687745213508606,0.0030328518254758175,0.0010557174682617188,0.0011706884778956,0.001,0.3,1000,0.0001,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.0001}",-31.410136800190113,-10.584696788658398,-19.86606125532245,-69.60026331914236,-32.86528954082833,22.455403121513704,259
0.07211291790008545,0.01807815622531881,0.00037801265716552734,0.00015785709246276885,0.001,0.3,1000,0.001,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.001}",-31.410136800190113,-10.584696788658398,-19.86606125532245,-69.60026331914236,-32.86528954082833,22.455403121513704,259
0.07525789737701416,0.00618742055540552,0.0005360841751098633,0.00021413323481426184,0.001,0.3,1000,0.01,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.01}",-31.410136800190113,-10.584696788658398,-19.873868922111953,-69.60026331914236,-32.86724145752571,22.454273400805842,261
0.12066596746444702,0.009364868372394235,0.0004017949104309082,0.00015154425549194944,0.001,0.3,2000,0.0001,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.0001}",-20.550282733708958,-9.713457014072555,-19.282344048614558,-61.30574992036413,-27.712958429190053,19.842107204849214,208
0.12621748447418213,0.016481252978223806,0.0004048347473144531,0.00022637746784589673,0.001,0.3,2000,0.001,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.001}",-20.550282733708958,-9.713457014072555,-19.484120233588513,-61.30574992036413,-27.763402475433537,19.82085526738904,209
0.1280481219291687,0.03717479098681816,0.0004298686981201172,0.00022723248138241,0.001,0.3,2000,0.01,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.01}",-20.550282733708958,-9.713457014072555,-19.873868922111953,-61.30574992036413,-27.860839647564397,19.78083329489648,211
0.24999994039535522,0.016700830795699444,0.0004850625991821289,0.0001899487343507971,0.001,0.3,5000,0.0001,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.0001}",-24.145616175694826,-9.763197882902727,-18.819195590441122,-47.90183964557702,-25.157462323653924,14.102194290626178,150
0.2880157232284546,0.0982991572131978,0.0006344914436340332,0.00018912818653164755,0.001,0.3,5000,0.001,"{'alpha': 0.001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.001}",-24.145616175694826,-9.763197882902727,-19.484120233588513,-47.90183964557702,-25.323693484440774,14.030236895154049,154
