mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2243500550587972,0.009757753685464252,0.01110537846883138,0.0014028247498573782,10,log2,1,2,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-4.613061406727934,-8.516704631781009,-26.71241531481019,-13.280727117773045,9.630413403170392,94
0.06813804308573405,0.003883075426085554,0.004700978597005208,0.0020048645519555133,10,log2,1,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-4.629346796479452,-6.433259052997102,-27.873039836299363,-12.978548561925306,10.557712113240802,52
0.14064264297485352,0.004211083729020651,0.007960955301920572,0.002596097421975287,10,log2,1,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-4.547546920420625,-6.8125992233961945,-26.847544646016875,-12.735896929944564,10.021196416619471,24
0.2106598218282064,0.015296151768465816,0.009326855341593424,0.0026714652334488675,10,log2,1,5,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-4.477206326085366,-6.659590301747479,-26.40718353965919,-12.51466005583068,9.863817939515162,3
0.07589364051818848,0.005736483126207952,0.0033080577850341797,5.7477176490781454e-05,10,log2,1,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-4.398308875972658,-6.786898579758114,-27.9006225241557,-13.02860999329549,10.561215451888254,61
0.1453076203664144,0.006190735562139257,0.0074164072672526045,0.001867062903849392,10,log2,1,10,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-4.348443526701008,-7.25497813758307,-27.329604300223377,-12.977675321502483,10.217481259056305,51
0.21098430951436362,0.008008482822064298,0.006125688552856445,5.6199057276294366e-05,10,log2,1,10,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-4.359096503884308,-6.788872318107393,-26.887260218009075,-12.678409680000257,10.096023238069233,15
0.07218408584594727,0.008809750320158238,0.005059560139973958,0.002448606253319769,10,log2,2,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-4.490862733680198,-7.575830225879228,-27.291058091606367,-13.119250350388597,10.099813763877401,79
0.14476744333902994,0.009365497119358204,0.005956331888834636,0.0016851308269979185,10,log2,2,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-4.573151846493625,-7.75045816098493,-26.876783913265292,-13.066797973581282,9.850908675336473,70
0.22777469952901205,0.01538498443096552,0.009948333104451498,0.0027334209359258736,10,log2,2,2,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-4.44993913333406,-7.717550557589074,-26.431468033871738,-12.86631924159829,9.684326423741572,31
0.0771782398223877,0.007271052109156796,0.004176696141560872,0.0010104715000450236,10,log2,2,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-4.460350680558464,-7.224083769296205,-27.62523853812252,-13.103224329325728,10.330415533972738,73
0.1603421370188395,0.0022433450154966833,0.005718310674031575,0.0013241056748573882,10,log2,2,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-4.49697235278442,-7.579900184975956,-26.784483002045025,-12.953785179935133,9.860434834546659,45
0.24113702774047852,0.010309798622928175,0.014004230499267578,0.007453311414624438,10,log2,2,5,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-4.539620435435322,-7.467176171616776,-26.352838559258785,-12.78654505543696,9.666984542623789,27
0.07606244087219238,0.012897838228923266,0.004526217778523763,0.001739271104151361,10,log2,2,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-4.369600554327345,-7.796174748276505,-27.965816416705756,-13.37719723976987,10.410129995791143,100
0.17383233706156412,0.013508462071851645,0.010384639104207357,0.0037451979409932634,10,log2,2,10,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-4.306717982107849,-7.948401471837149,-27.375430429165657,-13.21018329437022,10.126076385656145,91
