mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10033551851908366,0.02383624521338155,0.012896299362182617,0.0011346034825210597,0.6,0.01,10,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",-10.627519882344258,-28.22228402551764,-43.89667000037999,-27.58215796941396,13.589613887570572,40
0.10560345649719238,0.024451575791596916,0.027091185251871746,0.017318630671553245,0.6,0.01,10,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 1.0}",-10.70988111159728,-28.110211865385985,-44.15589469499642,-27.65866255732656,13.658010561289338,44
0.138748566309611,0.014382990644389554,0.01602768898010254,0.0016952427552647845,0.6,0.01,10,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.6}",-12.171596540692683,-23.539518621315477,-52.15721929003959,-29.28944481734925,16.82277712127517,71
0.13277880350748697,0.01012651193355335,0.017114957173665363,0.0020960589988540616,0.6,0.01,10,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",-12.448098373015812,-25.35108966352014,-52.58436583762774,-30.1278512913879,16.730074322106663,99
0.13933134078979492,0.011530727731266668,0.01145474116007487,0.0022480353204987584,0.6,0.01,10,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200, 'subsample': 1.0}",-12.714637336384518,-27.063943325122576,-53.14191993517429,-30.9735001988938,16.73429155541681,135
0.28398633003234863,0.01846408344441001,0.015588601430257162,0.0031224533750444142,0.6,0.01,10,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'subsample': 0.6}",-13.793317634001024,-20.500423976210087,-57.34346029029484,-30.545733966835318,19.145668282089325,114
0.2997984091440837,0.020179206670518632,0.014728625615437826,0.001719894864471954,0.6,0.01,10,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'subsample': 0.8}",-14.179623946000497,-23.364159402699702,-58.82026625776309,-32.12134986882109,19.24773623306782,201
0.30822062492370605,0.02540057645314497,0.016788721084594727,0.0010328413009238078,0.6,0.01,10,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'subsample': 1.0}",-14.70383845513614,-27.37082016309372,-59.89070711134922,-33.98845524319302,19.03169453444234,305
0.042377312978108726,0.008904633315529067,0.016712347666422527,0.006808835646832568,0.6,0.05,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",-11.192167549063651,-22.693957915292582,-53.813422784342116,-29.233182749566115,18.003961518372797,69
0.03882861137390137,0.0030482166017492614,0.0139923095703125,0.0026837711941891007,0.6,0.05,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-12.812329202471219,-23.359573277652206,-54.29274263817265,-30.15488170609869,17.602809192047857,100
0.04773815472920736,0.01757763951804891,0.013963937759399414,0.0033130551786715893,0.6,0.05,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-12.517242838873265,-26.057781966669257,-54.627871585269276,-31.0676321302706,17.55278159059129,142
0.055189291636149086,0.004429712867181146,0.013176043828328451,0.0025713151567949032,0.6,0.05,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",-12.263037134759196,-21.598459757331607,-56.003775159201226,-29.955090683764013,18.80935939120331,95
0.053338050842285156,0.0012367874570317924,0.014853954315185547,0.0009258185051805012,0.6,0.05,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-14.070038567377361,-22.315746845910986,-57.16725580472511,-31.184347072671148,18.67853645029242,147
0.051743666330973305,0.0025557900042016742,0.013385613759358725,0.001970836950755872,0.6,0.05,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-13.826502232585135,-24.868481456730407,-58.63984503807756,-32.444942909131036,19.063245604311096,219
0.08437768618265788,0.0034377460543995927,0.012516657511393229,0.0021944533035333507,0.6,0.05,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",-12.63768833651269,-20.189480863498815,-55.55872574110443,-29.461964980371977,18.708965484402384,78
0.08566991488138835,0.002226200066981969,0.017359415690104168,0.00023021091353809322,0.6,0.05,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-14.536697799537006,-20.86055763719585,-59.03730565119352,-31.47818702930879,19.657510273394642,165
0.08439040184020996,0.0031029556661190238,0.015566269556681315,0.003227399570304941,0.6,0.05,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-15.25396355181057,-24.953252244497346,-58.49126776703707,-32.899494521114995,18.524275850696387,236
0.18060175577799478,0.0019624183311739256,0.01554250717163086,0.0035376527610741972,0.6,0.05,3,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.6}",-13.668775038645826,-22.433230710208363,-55.494933326633586,-30.53231302516259,18.010242086865556,113
0.18558470408121744,0.003967185500298857,0.0174103577931722,0.0059331798411767596,0.6,0.05,3,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-14.927193909840552,-21.044901679178977,-59.800226718619854,-31.924107435879794,19.868989351699465,186
0.17481271425882974,0.012055002998684254,0.016925255457560223,0.00356351179129477,0.6,0.05,3,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",-15.678588696894682,-26.315743459407486,-58.37636215114778,-33.456898102483315,18.14794812487852,272
0.0447392463684082,0.001979961135057353,0.013065258661905924,0.002535979107456567,0.6,0.05,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",-12.527075239446154,-24.02319884765153,-53.20710817040169,-29.919127419166458,17.122845365304823,92
0.043028036753336586,0.0026113514164203353,0.015818993250528973,0.004990872080103667,0.6,0.05,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",-13.371303512620281,-22.532322604512117,-53.65884371959185,-29.854156612241415,17.24293892021975,88
0.04619884490966797,0.0075335883840755395,0.021724383036295574,0.014528695933807926,0.6,0.05,5,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",-13.276906541631115,-27.77426348958312,-54.68105838301462,-31.910742804742952,17.154373461203107,185
0.06916769345601399,0.006753096482347242,0.01305993398030599,0.004394752495342832,0.6,0.05,5,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",-13.837081429235267,-22.850061056261556,-55.128491570592004,-30.60521135202961,17.726663625696705,118
0.06680544217427571,0.003591504272054335,0.012119611104329428,0.0032982199091832654,0.6,0.05,5,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-14.542226024907258,-21.866891418396463,-57.63206790638623,-31.347061783229986,18.825317012867107,158
0.06459204355875652,0.0151271962313956,0.01681693394978841,0.0051486742878922385,0.6,0.05,5,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-14.40698937897123,-29.21795496776343,-58.8890221273481,-34.171322158027586,18.494408060241835,317
0.12923494974772134,0.01478628801554068,0.016414801279703777,0.002270782260458921,0.6,0.05,5,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.6}",-14.351136502068703,-21.55310676011969,-55.2610438236189,-30.38842902860243,17.831663204450237,110
0.10862596829732259,0.009522421661921696,0.02036937077840169,0.010606088752632786,0.6,0.05,5,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-14.779327563717944,-21.10447061082383,-58.446590602527145,-31.44346292568964,19.267910056019375,161
0.10465367635091145,0.013129213476399636,0.013488372166951498,0.004347986129895116,0.6,0.05,5,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-14.716229217953414,-28.849635605189842,-59.145526862381416,-34.23713056184156,18.533922929325293,321
0.23094304402669272,0.004495563210220264,0.013226509094238281,0.0017597076386614494,0.6,0.05,5,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.6}",-14.93322087682026,-22.582956272186486,-53.24970686586927,-30.255294671625336,16.5567077448764,108
0.23720924059549967,0.008830435034811807,0.015892982482910156,0.0013414540930159753,0.6,0.05,5,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.8}",-14.78197675799443,-21.551142870811983,-58.09797544324268,-31.47703169068303,19.025621096711276,164
0.21532265345255533,0.014560730215561703,0.014488697052001953,0.0032467314593595444,0.6,0.05,5,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500, 'subsample': 1.0}",-14.760071903787717,-28.85413520800848,-59.08553626449212,-34.23324779209611,18.491220202071332,320
0.048849900563557945,0.00033361148434369356,0.012018521626790365,0.0037326574433092876,0.6,0.05,7,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",-12.477008175096888,-23.229091399642808,-53.10412942875956,-29.603409667833088,17.187489546723427,81
0.05193591117858887,0.004836752407008881,0.02525504430135091,0.017182410719679755,0.6,0.05,7,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",-13.23145287758591,-22.788588017581908,-53.71913021076017,-29.913057035309333,17.279690353074937,90
0.045070648193359375,0.00010232426197759866,0.014235575993855795,0.0028206789611720687,0.6,0.05,7,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",-13.223743215811496,-27.889646779411272,-54.715175171300324,-31.942855055507696,17.17956352620369,189
0.07104063034057617,0.006631745880199691,0.014203389485677084,0.002484305831816871,0.6,0.05,7,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.6}",-13.69421926911302,-21.6661876100624,-55.15701963610768,-30.172475505094365,17.964013172324805,101
