YEAR;REP;var;Variety;FAO cicle;Sowing date;Flowering date;Harvest date;Fresh Total;Fresh Ear Percentage;Fresh Foliage Percentage;Dry Total;Dry Ear Percentage;Dry Foliage Percentage
2013;C;6;SY KAIRO;200;06/06/2013;No data;25/09/2013;44,56;33,90;66,10;17,40;52,08;47,92
2013;C;7;LG 30.311;300;06/06/2013;No data;01/10/2013;61,22;32,50;67,50;19,84;56,88;43,13
2013;C;8;ADEVEY;280;06/06/2013;No data;07/10/2013;52,70;45,90;54,10;24,56;62,20;37,80
2013;C;9;BELUGI;240;06/06/2013;No data;07/10/2013;59,00;38,71;61,29;22,60;60,85;39,15
2013;C;10;MARACANA;280;06/06/2013;No data;07/10/2013;63,50;35,59;64,41;22,11;56,84;43,16
2013;C;11;DKC4608;400;06/06/2013;No data;14/10/2013;53,54;40,00;60,00;21,60;63,02;36,98
2013;C;12;SY SYNCERO;600;06/06/2013;No data;14/10/2013;48,51;37,97;62,03;18,21;55,00;45,00
2013;C;13;YUCATAN;350;06/06/2013;No data;14/10/2013;47,84;40,98;59,02;19,91;62,84;37,16
2013;C;14;ANJOU_387;300;06/06/2013;No data;14/10/2013;37,78;44,19;55,81;17,73;60,16;39,84
2013;C;15;DEVOLVI;300;06/06/2013;No data;14/10/2013;48,03;41,07;58,93;19,34;58,88;41,12
2013;C;16;FERN�NDEZ;300;06/06/2013;No data;01/10/2013;46,68;38,30;61,70;20,32;54,46;45,54
2013;C;17;SHERLEY;300;06/06/2013;No data;25/09/2013;44,66;41,30;58,70;16,18;57,28;42,72
2013;C;18;MARTELI;300;06/06/2013;No data;25/09/2013;59,14;35,29;64,71;18,97;53,14;46,86
2013;C;19;FORBIA;200;06/06/2013;No data;07/10/2013;34,93;45,45;54,55;16,58;60,46;39,54
2013;C;20;BARSA;180;06/06/2013;No data;25/09/2013;64,27;35,71;64,29;23,32;56,83;43,17
2013;D;1;AMADEO;200;06/06/2013;No data;25/09/2013;44,11;39,22;60,78;16,17;58,83;41,17
2013;D;2;LG 30.275;260;06/06/2013;No data;25/09/2013;44,88;36,73;63,27;17,50;53,60;46,40
2013;D;3;DKC 33.90;200;06/06/2013;No data;25/09/2013;37,13;41,86;58,14;14,77;56,99;43,01
2013;D;4;DKC 41.14;200;06/06/2013;No data;01/10/2013;59,27;35,71;64,29;19,73;60,47;39,53
2013;D;5;CODILOR;260;06/06/2013;No data;07/10/2013;46,86;37,29;62,71;18,62;56,12;43,88
2013;D;6;SY KAIRO;200;06/06/2013;No data;25/09/2013;53,85;28,79;71,21;19,47;47,54;52,46
2013;D;7;LG 30.311;300;06/06/2013;No data;01/10/2013;60,05;36,00;64,00;21,59;56,44;43,56
2013;D;8;ADEVEY;280;06/06/2013;No data;07/10/2013;43,72;44,83;55,17;19,24;62,31;37,69
2013;D;9;BELUGI;240;06/06/2013;No data;07/10/2013;32,10;42,86;57,14;13,33;60,51;39,49
2013;D;10;MARACANA;280;06/06/2013;No data;07/10/2013;38,67;41,30;58,70;16,97;55,15;44,85
2013;D;11;DKC4608;400;06/06/2013;No data;14/10/2013;53,74;37,50;62,50;21,92;59,04;40,96
2013;D;12;SY SYNCERO;600;06/06/2013;No data;14/10/2013;62,53;37,84;62,16;24,53;51,87;48,13
2013;D;13;YUCATAN;350;06/06/2013;No data;14/10/2013;47,88;42,37;57,63;15,34;48,75;51,25
2013;D;14;ANJOU_387;300;06/06/2013;No data;14/10/2013;52,34;40,00;60,00;21,23;60,37;39,63
2013;D;15;DEVOLVI;300;06/06/2013;No data;14/10/2013;62,38;40,00;60,00;24,48;60,24;39,76
2013;D;16;FERN�NDEZ;300;06/06/2013;No data;01/10/2013;56,44;36,23;63,77;20,93;56,49;43,51
2013;D;17;SHERLEY;300;06/06/2013;No data;25/09/2013;54,51;33,82;66,18;17,17;53,36;46,64
2013;D;18;MARTELI;300;06/06/2013;No data;25/09/2013;68,23;36,36;63,64;21,99;52,16;47,84
2013;D;19;FORBIA;200;06/06/2013;No data;07/10/2013;50,64;40,35;59,65;19,66;60,11;39,89
2013;D;20;BARSA;180;06/06/2013;No data;25/09/2013;42,59;35,62;64,38;16,83;52,25;47,75
2014;A;1;SY KAIRO;200;21/05/2014;28/07/2014;10/09/2014;43,50;36,54;63,46;19,28;50,70;49,30
2014;A;2;AMADEO;200;21/05/2014;21/07/2014;10/09/2014;47,31;42,59;57,41;19,26;59,25;40,75
2014;A;3;DKC 41.14;200;21/05/2014;04/08/2014;18/09/2014;46,65;39,08;60,92;20,41;51,05;48,95
2014;A;4;DKC 33.90;200;21/05/2014;23/07/2014;10/09/2014;41,27;38,46;61,54;18,32;49,62;50,38
2014;A;5;BELUGI;240;21/05/2014;28/07/2014;10/09/2014;41,67;40,35;59,65;18,43;53,20;46,80
2014;A;6;CODIGREEN;210;21/05/2014;04/08/2014;10/09/2014;42,53;44,90;55,10;18,71;57,51;42,49
2014;A;7;CRAVERO;250;21/05/2014;08/08/2014;18/09/2014;47,74;34,78;65,22;19,76;52,89;47,11
2014;A;8;PENELOPE;260;21/05/2014;04/08/2014;10/09/2014;45,00;43,75;56,25;20,36;57,78;42,22
2014;A;9;TORQUAZ;400;21/05/2014;14/08/2014;01/10/2014;43,32;43,78;56,22;19,42;60,74;39,26
2014;A;10;DKC4608;400;21/05/2014;14/08/2014;01/10/2014;43,30;48,56;51,44;19,90;68,33;31,67
2014;A;11;PINCKI;350;21/05/2014;14/08/2014;01/10/2014;39,32;44,66;55,34;19,20;57,06;42,94
2014;A;12;YUCATAN;350;21/05/2014;14/08/2014;01/10/2014;32,71;46,62;53,38;15,30;60,91;39,09
2014;A;13;ANJOU_387;300;21/05/2014;14/08/2014;24/09/2014;15,74;45,45;54,55;7,88;59,64;40,36
2014;A;14;LG 30.369;300;21/05/2014;14/08/2014;24/09/2014;49,79;40,28;59,72;20,34;58,88;41,12
2014;A;15;SY SAVIO;300;21/05/2014;11/08/2014;24/09/2014;35,04;40,30;59,70;13,92;54,11;45,89
2014;A;16;SY SENKO;300;21/05/2014;11/08/2014;24/09/2014;54,50;40,00;60,00;21,36;56,62;43,38
2014;A;17;MARTELI;300;21/05/2014;11/08/2014;24/09/2014;51,27;35,42;64,58;20,32;52,27;47,73
2014;A;18;ARVEDO;300;21/05/2014;11/08/2014;18/09/2014;43,41;39,29;60,71;18,40;56,22;43,78
2014;A;19;SHERLEY;300;21/05/2014;11/08/2014;18/09/2014;47,03;39,19;60,81;19,66;56,75;43,25
2014;B;1;SY KAIRO;200;21/05/2014;28/07/2014;10/09/2014;50,03;35,85;64,15;21,44;52,29;47,71
2014;B;2;AMADEO;200;21/05/2014;21/07/2014;10/09/2014;34,32;48,57;51,43;15,36;61,89;38,11
2014;B;3;DKC 41.14;200;21/05/2014;04/08/2014;18/09/2014;36,54;42,67;57,33;16,54;59,30;40,70
2014;B;4;DKC 33.90;200;21/05/2014;23/07/2014;10/09/2014;27,11;54,84;45,16;13,91;62,61;37,39
2014;B;5;BELUGI;240;21/05/2014;28/07/2014;10/09/2014;33,60;45,45;54,55;15,00;57,51;42,49
2014;B;6;CODIGREEN;210;21/05/2014;04/08/2014;10/09/2014;40,10;48,48;51,52;18,99;59,39;40,61
2014;B;7;CRAVERO;250;21/05/2014;08/08/2014;10/09/2014;35,94;37,78;62,22;16,02;50,07;49,93
2014;B;8;PENELOPE;260;21/05/2014;04/08/2014;10/09/2014;43,41;40,00;60,00;18,00;51,58;48,42
2014;B;9;TORQUAZ;400;21/05/2014;14/08/2014;01/10/2014;49,52;42,18;57,82;21,09;62,93;37,07
2014;B;10;DKC4608;400;21/05/2014;14/08/2014;01/10/2014;54,36;40,12;59,88;23,31;61,65;38,35
2014;B;11;PINCKI;350;21/05/2014;14/08/2014;01/10/2014;43,79;44,32;55,68;20,15;59,80;40,20
2014;B;12;YUCATAN;350;21/05/2014;14/08/2014;01/10/2014;39,59;48,55;51,45;19,07;65,43;34,57
2014;B;13;ANJOU_387;300;21/05/2014;14/08/2014;24/09/2014;42,97;42,86;57,14;19,70;58,83;41,17
2014;B;14;LG 30.369;300;21/05/2014;14/08/2014;24/09/2014;52,62;40,00;60,00;21,79;58,27;41,73
2014;B;15;SY SAVIO;300;21/05/2014;11/08/2014;24/09/2014;58,77;37,88;62,12;22,75;49,82;50,18
2014;B;16;SY SENKO;300;21/05/2014;11/08/2014;24/09/2014;54,13;41,67;58,33;22,67;55,79;44,21
2014;B;17;MARTELI;300;21/05/2014;11/08/2014;24/09/2014;54,99;40,00;60,00;21,71;58,60;41,40
2014;B;18;ARVEDO;300;21/05/2014;11/08/2014;18/09/2014;48,86;39,00;61,00;19,82;56,79;43,21
2014;B;19;SHERLEY;300;21/05/2014;11/08/2014;18/09/2014;57,81;37,80;62,20;22,83;56,58;43,42
2014;C;1;SY KAIRO;200;21/05/2014;28/07/2014;10/09/2014;53,51;34,69;65,31;21,99;50,96;49,04
2014;C;2;AMADEO;200;21/05/2014;21/07/2014;10/09/2014;35,80;45,95;54,05;16,19;60,35;39,65
2014;C;3;DKC 41.14;200;21/05/2014;04/08/2014;18/09/2014;32,94;38,95;61,05;14,81;55,54;44,46
2014;C;4;DKC 33.90;200;21/05/2014;23/07/2014;10/09/2014;37,30;44,44;55,56;17,38;56,95;43,05
2014;C;5;BELUGI;240;21/05/2014;28/07/2014;10/09/2014;48,56;39,22;60,78;19,72;56,53;43,47
2014;C;6;CODIGREEN;210;21/05/2014;04/08/2014;10/09/2014;43,88;39,62;60,38;18,68;52,19;47,81
2014;C;7;CRAVERO;250;21/05/2014;08/08/2014;18/09/2014;32,97;39,66;60,34;14,74;55,54;44,46
2014;C;8;PENELOPE;260;21/05/2014;04/08/2014;10/09/2014;37,19;46,15;53,85;17,06;59,35;40,65
2014;C;9;TORQUAZ;400;21/05/2014;14/08/2014;01/10/2014;41,70;41,50;58,50;18,03;59,64;40,36
2014;C;10;DKC4608;400;21/05/2014;14/08/2014;01/10/2014;37,98;41,60;58,40;17,19;61,20;38,80
2014;C;11;PINCKI;350;21/05/2014;14/08/2014;01/10/2014;46,31;44,95;55,05;23,42;55,99;44,01
2014;C;12;YUCATAN;350;21/05/2014;14/08/2014;01/10/2014;32,44;42,05;57,95;15,22;57,65;42,35
2014;C;13;ANJOU_387;300;21/05/2014;14/08/2014;24/09/2014;43,82;40,35;59,65;18,42;58,89;41,11
2014;C;14;LG 30.369;300;21/05/2014;14/08/2014;24/09/2014;31,90;42,55;57,45;15,46;55,67;44,33
2014;C;15;SY SAVIO;300;21/05/2014;11/08/2014;24/09/2014;58,77;39,68;60,32;21,71;54,44;45,56
2014;C;16;SY SENKO;300;21/05/2014;11/08/2014;24/09/2014;54,38;41,38;58,62;22,35;57,51;42,49
2014;C;17;MARTELI;300;21/05/2014;11/08/2014;24/09/2014;38,46;44,19;55,81;18,22;56,57;43,43
2014;C;18;ARVEDO;300;21/05/2014;11/08/2014;18/09/2014;33,84;41,18;58,82;14,95;57,21;42,79
2014;C;19;SHERLEY;300;21/05/2014;11/08/2014;18/09/2014;50,04;39,71;60,29;21,20;57,49;42,51
2014;D;1;SY KAIRO;200;21/05/2014;28/07/2014;10/09/2014;47,44;31,91;68,09;19,18;46,24;53,76
2014;D;2;AMADEO;200;21/05/2014;21/07/2014;10/09/2014;48,39;39,13;60,87;18,98;56,24;43,76
